[2026-09-17T19:48:28.614Z] {"timestamp":1789674507677,"kind":"change","url":"http://localhost:3000/admin/blog","viewport":{"width":0,"height":0},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"value":{"masked":true,"length":14}}}
[2026-09-17T19:48:30.615Z] {"timestamp":1789674509208,"kind":"focusin","url":"http://localhost:3000/admin/blog","viewport":{"width":0,"height":0},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"}}}
[2026-09-17T19:48:36.614Z] {"timestamp":1789674515194,"kind":"scroll","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"scrollX":0,"scrollY":0,"documentHeight":720,"viewportHeight":720}}
[2026-09-17T19:48:40.613Z] {"timestamp":1789674519505,"kind":"click","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"x":640,"y":377}}
[2026-09-17T19:48:42.615Z] {"timestamp":1789674522264,"kind":"change","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"value":{"masked":true,"length":28}}}
[2026-09-17T19:48:42.615Z] {"timestamp":1789674522265,"kind":"focusout","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"value":{"masked":true,"length":28}}}
[2026-09-17T19:48:42.615Z] {"timestamp":1789674522265,"kind":"focusin","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:202","href":null,"text":"Login","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:202\"]"}}}
[2026-09-17T19:48:42.615Z] {"timestamp":1789674522265,"kind":"click","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:202","href":null,"text":"Login","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:202\"]"},"x":640,"y":441}}
[2026-09-17T19:48:54.618Z] {"timestamp":1789674534544,"kind":"focusout","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:202","href":null,"text":"Login","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:202\"]"},"value":null}}
[2026-09-17T19:48:54.618Z] {"timestamp":1789674534544,"kind":"focusin","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"}}}
[2026-09-17T19:48:54.618Z] {"timestamp":1789674534545,"kind":"click","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"x":640,"y":377}}
[2026-09-17T19:48:54.618Z] {"timestamp":1789674534546,"kind":"click","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"x":640,"y":377}}
[2026-09-17T19:48:54.618Z] {"timestamp":1789674534547,"kind":"click","url":"http://localhost:3000/admin/blog","viewport":{"width":1280,"height":720},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"password","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client/src/pages/AdminBlog.tsx:186","href":null,"text":"","selectorHint":"[data-loc=\"client/src/pages/AdminBlog.tsx:186\"]"},"x":640,"y":377}}
